Energy,Correlation,Dissimilarity,Homogenity,Contrast,class_label
medium,low,high,low,more,Yes
low,low,high,low,more,Yes
medium,low,high,low,more,Yes
high,high,high,high,more,Yes
high,high,high,high,more,Yes
high,high,high,high,more,Yes
high,high,high,high,more,Yes
high,high,high,high,more,Yes
high,high,high,high,more,Yes
medium,high,low,low,less,Yes
medium,low,high,low,more,Yes
medium,low,high,low,more,Yes
medium,low,high,low,less,Yes
medium,low,low,low,less,Yes
medium,low,low,low,less,Yes
medium,high,low,low,less,No
high,high,low,high,less,No
high,low,high,high,less,No
medium,low,high,low,more,No
high,high,low,high,less,No
high,high,low,high,less,No
medium,high,low,high,less,No
medium,high,low,high,less,No
medium,low,high,low,more,No
medium,high,high,low,less,No
high,high,high,high,more,No
medium,high,low,high,less,No
medium,high,low,high,less,No
medium,high,low,high,less,No
medium,high,low,high,less,No
medium,high,low,high,less,No
